soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,1,10,False,37.5,37.5,99.33,0.0,0.0
True,False,1,10,True,37.5,37.5,99.33,0.0,0.0
True,False,1,40,False,37.5,37.5,99.33,0.0,0.0
True,False,1,40,True,37.5,37.5,99.33,4.890000080207124e-13,9.98301104004895e-08
True,False,1,80,False,37.5,37.5,99.33,4.8000001868185593e-14,9.799274280908321e-09
True,False,1,80,True,37.5,37.5,99.33,1.669049967678582e-11,3.4073914321197663e-06
True,False,2,10,False,37.5,37.5,99.33,0.0,0.0
True,False,2,10,True,37.5,37.5,99.33,0.0,0.0
True,False,2,40,False,37.5,37.5,99.33,7.500000376607294e-14,1.531136639698616e-08
True,False,2,40,True,37.5,37.5,99.33,1.288500122570424e-12,2.630492872413015e-07
True,False,2,80,False,37.5,37.5,99.33,5.699999798330566e-14,1.1636637431422514e-08
True,False,2,80,True,37.5,37.5,99.33,3.076350285624585e-11,6.280416073423112e-06
True,False,4,10,False,37.5,37.5,99.33,2.1150000696114335e-13,4.317805135656272e-08
True,False,4,10,True,37.5,37.5,99.33,1.0359000116033634e-11,2.114805965902633e-06
True,False,4,40,False,67.17,83.7,76.96,3.094961797955875e-08,0.006318412255495787
True,False,4,40,True,58.91,73.56,74.67,1.5447056966877426e-08,0.00315354042686522
True,False,4,80,False,75.1,86.42,84.57,3.785308422266098e-08,0.007727765012532473
True,False,4,80,True,74.38,85.87,85.04,3.2654408954613245e-08,0.006666447967290878
True,False,8,10,False,51.73,64.34,73.54,3.543513926729247e-08,0.00723413797095418
True,False,8,10,True,49.9,63.08,69.83,3.447784635568496e-08,0.007038705516606569
True,False,8,40,False,77.46,89.96,84.35,6.812176422954508e-08,0.01390716340392828
True,False,8,40,True,81.8,92.43,87.06,7.914559319033287e-08,0.016157694160938263
True,False,8,80,False,83.17,92.15,88.59,7.770475463075854e-08,0.01586354523897171
True,False,8,80,True,81.64,92.11,87.3,6.477865355236645e-08,0.013224662281572819
