soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,2,50,False,0.2,False,48.32,59.01,80.53,1.0457799959340264e-08,0.17190799117088318
True,False,2,50,False,0.2,True,40.48,41.4,95.51,1.133297367061914e-08,0.1862943172454834
True,False,2,100,False,0.2,False,78.55,82.3,94.99,2.289860034920821e-08,0.3764130771160126
True,False,2,100,False,0.2,True,82.76,90.88,90.99,1.187697229454443e-08,0.1952367126941681
True,False,4,50,False,0.2,False,78.69,84.24,93.15,2.7892548715158227e-08,0.45850488543510437
True,False,4,50,False,0.2,True,82.26,89.54,91.85,1.529966198177135e-08,0.2514997720718384
True,False,4,100,False,0.2,False,86.12,89.94,95.64,4.0168245618588116e-08,0.6602959036827087
True,False,4,100,False,0.2,True,89.7,96.13,93.29,4.6906801998147785e-08,0.7710660696029663
True,False,8,50,False,0.2,False,85.77,88.85,96.37,8.520264316302928e-08,1.4005829095840454
True,False,8,50,False,0.2,True,90.03,94.21,95.59,8.573154985924702e-08,1.4092772006988525
True,False,8,100,False,0.2,False,90.24,95.31,94.61,1.1611221140128691e-07,1.9086822271347046
True,False,8,100,False,0.2,True,90.46,96.28,93.82,1.1359021812040737e-07,1.867225170135498
